#OTU ID	S1	S2	S3	S4	S5	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	H1	H2	H3	H4	H5
ZOTU_1	29176	53924	58919	43277	67878	267	766	4589	52056	47003	27994	34872	29038	19123	17406	34738	31782	11203
ZOTU_2	1564	488	1838	4268	394	607	24732	925	3146	54835	78038	2575	3170	53956	19513	12307	40244	142199
ZOTU_3	1	16	41	7	497	25832	180	17700	20177	15167	9401	4824	1963	225	95	63	143	33
ZOTU_5	938	461	132	954	1972	64	1177	99	202	1137	270	1041	133	1172	1368	1327	14526	117
ZOTU_6	262	784	363	73	1051	2161	1428	7782	94	405	249	635	84	279	629	381	1636	72
ZOTU_8	0	3	1	19	4	0	888	46	111	912	6468	200	89	889	823	720	443	3595
ZOTU_10	8	8788	135	0	1	6	28	10	0	0	51	7	1	4	1	0	4	2
ZOTU_11	100	447	4383	1555	30	2	117	2	0	380	993	148	1	1	0	126	7	78
ZOTU_12	434	3	168	988	170	118	716	342	127	853	2928	76	192	155	20	282	159	460
ZOTU_13	78	374	437	900	7	36	184	2	85	574	2623	66	26	208	62	179	153	472
ZOTU_14	266	589	298	314	338	201	106	688	182	119	75	781	62	250	1194	352	197	160
ZOTU_15	161	404	250	275	375	756	171	395	53	247	55	793	184	554	725	284	803	86
ZOTU_16	980	437	270	1927	113	122	247	0	91	39	38	43	61	3	29	6	120	833
ZOTU_17	79	4196	0	10	15	1	25	43	35	39	149	0	8	4	34	65	11	229
ZOTU_18	0	0	1	0	1	0	0	0	1	2	1	0	0	1	0	0	5330	3
ZOTU_19	71	62	0	28	4190	98	25	233	15	26	0	0	17	110	91	65	18	2
ZOTU_20	0	1	2	1	5519	0	12	1	2	0	4	3	0	2	0	3	0	7
ZOTU_23	94	626	353	60	319	82	810	114	156	52	70	454	17	373	365	192	106	298
ZOTU_24	123	79	100	95	177	87	396	6	115	67	469	1633	46	160	640	7	19	50
ZOTU_25	204	340	255	431	624	194	353	344	144	142	58	859	51	94	57	147	156	22
ZOTU_28	105	36	2661	175	96	45	183	7	106	168	14	206	0	3	7	31	57	4
ZOTU_29	47	10	421	8	56	116	1282	357	41	135	206	641	402	59	141	6	9	13
ZOTU_30	72	60	0	192	180	138	202	317	46	247	43	802	36	404	184	102	558	79
ZOTU_31	63	1731	210	49	336	11	186	25	48	134	39	0	23	54	186	153	46	38
ZOTU_32	87	263	453	127	313	141	390	8	821	302	137	153	81	208	132	130	111	91
ZOTU_33	0	1	19	23	829	0	23	25	14	46	20	26	0	333	536	686	494	32
ZOTU_34	18	1479	4	235	2	36	25	106	36	32	256	230	9	44	345	190	114	19
ZOTU_35	91	34	66	148	261	22	371	3	3	64	34	146	47	340	248	1018	292	17
ZOTU_36	240	333	264	41	237	849	148	155	42	124	32	210	124	68	601	140	30	61
ZOTU_37	14	155	53	52	246	11	180	1	149	5	31	351	0	128	6	94	287	991
ZOTU_38	84	79	27	118	2247	37	215	5	281	54	29	267	9	2	13	1	1	32
ZOTU_40	2	45	0	0	1	1	43	93	69	74	4	80	1	2092	21	15	14	4
ZOTU_41	1	18	24	20	5	4	441	3	9	7	7	1733	2	41	1	154	31	6
ZOTU_42	15	1368	134	40	1	7	120	0	10	72	138	44	6	1	0	0	18	3
ZOTU_43	0	93	0	1	16	159	41	272	6	5	2	41	53	225	368	339	313	2
ZOTU_44	27	90	27	94	533	198	36	167	1	23	3	461	16	107	72	47	90	11
ZOTU_47	1	1	1	0	1	0	0	1516	1	1	0	2	0	2	1	0	0	1
ZOTU_48	11	1	31	0	251	54	365	0	9	4	193	573	17	0	2	28	7	1
ZOTU_49	71	0	5	28	30	56	240	124	230	155	76	425	5	22	73	0	34	23
ZOTU_50	34	180	116	65	122	19	200	5	15	119	85	370	41	19	260	34	30	5
ZOTU_51	18	0	0	0	0	1	0	54	0	0	0	352	0	6	0	0	1143	2
ZOTU_52	0	0	2	17	20	0	22	0	1	0	0	2	4	15	1429	3	2	1
ZOTU_53	2	6	26	16	3	34	106	126	2	41	3	635	29	36	100	112	84	87
ZOTU_54	27	213	229	120	19	3	53	2	40	19	22	199	1	12	0	2	637	20
ZOTU_55	110	13	67	113	53	359	35	222	57	103	12	160	109	47	194	70	13	17
ZOTU_57	72	45	44	77	41	43	18	337	2	41	28	269	18	91	114	40	209	27
ZOTU_58	0	81	0	0	1137	0	118	0	2	0	0	1	1	2	1	0	1	0
ZOTU_59	37	448	540	192	0	0	18	0	0	0	20	0	6	0	0	33	0	7
ZOTU_61	16	81	145	189	15	3	192	139	50	46	62	61	44	41	137	36	27	90
ZOTU_62	4	617	3	58	34	60	139	21	1	45	0	1	3	101	100	1	116	36
ZOTU_63	30	84	45	32	8	140	15	32	20	60	10	376	28	12	187	109	37	29
ZOTU_64	32	996	3	8	80	8	64	109	1	10	7	0	16	50	25	3	0	31
ZOTU_65	0	968	0	6	1	0	68	0	1	4	7	1	0	0	0	0	3	0
ZOTU_66	0	9	69	269	29	79	106	234	5	92	64	51	1	8	34	0	3	103
ZOTU_67	2	120	73	25	88	1	191	5	148	54	14	213	9	12	1	178	14	23
ZOTU_68	1	0	0	12	1	0	14	40	0	0	12	81	0	0	431	171	380	9
ZOTU_69	47	0	24	1	1	3	85	130	40	52	198	440	36	14	3	0	0	13
ZOTU_70	20	1	9	8	17	5	47	1	17	2	1	1	0	0	871	23	0	0
ZOTU_71	0	948	0	61	0	0	1	0	0	0	0	0	0	0	0	0	0	2
ZOTU_72	1	0	84	0	15	21	20	57	0	0	33	29	640	0	39	20	63	1
ZOTU_73	0	12	0	32	3	0	138	175	6	52	4	0	0	76	570	15	7	5
ZOTU_74	0	47	44	17	166	2	60	0	1	66	0	2	4	362	2	0	0	239
ZOTU_75	60	26	54	157	171	85	23	68	39	17	7	154	5	103	107	183	108	14
ZOTU_76	9	0	32	1	53	14	49	2	247	123	63	352	16	2	7	18	1	16
ZOTU_77	0	3	17	32	119	169	118	147	10	36	18	2	16	137	203	7	1	30
ZOTU_78	0	8	0	19	120	0	12	259	0	99	0	371	17	0	1	0	0	16
ZOTU_80	0	119	21	122	5	3	3	62	2	84	40	12	6	17	205	84	135	39
ZOTU_81	0	50	28	45	0	9	531	4	1	70	0	10	52	0	153	2	54	0
ZOTU_82	6	2	136	0	0	1	40	560	1	17	42	0	5	51	1	6	36	11
ZOTU_83	6	2	20	0	0	0	79	2	0	0	26	1	19	39	1	0	738	21
ZOTU_84	5	83	447	412	12	0	0	0	0	0	0	0	0	0	0	0	1	5
ZOTU_85	0	733	40	3	24	0	9	12	0	2	22	3	0	8	0	0	122	13
ZOTU_86	37	1	64	0	3	116	217	118	69	42	9	42	0	51	78	11	5	42
ZOTU_87	49	10	62	16	19	6	165	1	508	2	39	62	19	1	0	1	19	23
ZOTU_88	0	0	12	1	68	34	31	67	1	11	11	63	18	50	573	18	28	11
ZOTU_89	11	34	1	68	58	55	24	51	22	14	14	290	56	18	10	8	104	6
ZOTU_90	58	1	28	33	28	72	229	31	15	14	6	3	17	50	136	8	62	78
ZOTU_91	0	668	0	108	0	0	0	27	1	0	0	0	0	7	0	0	0	19
ZOTU_92	0	0	0	0	0	26	173	1	116	21	31	1	10	609	0	0	0	90
ZOTU_93	11	14	23	18	128	0	84	38	3	11	7	100	0	33	91	151	158	9
ZOTU_94	0	0	2	14	1	0	3	487	0	1	1	8	1	27	287	0	0	3
ZOTU_95	9	49	0	19	43	359	9	232	0	3	23	91	7	79	104	1	16	21
ZOTU_96	0	0	0	115	81	86	1	0	1	0	6	32	0	0	424	44	0	0
ZOTU_97	69	72	46	30	133	73	0	52	1	5	12	246	20	5	56	1	73	30
ZOTU_98	0	41	10	8	21	332	40	48	0	32	5	17	6	28	189	35	25	14
ZOTU_99	0	24	74	82	0	0	88	0	0	47	135	0	20	38	4	40	0	188
ZOTU_100	61	32	1	21	135	95	32	44	2	3	12	8	28	220	186	56	175	14
ZOTU_103	0	0	40	64	65	6	101	19	0	18	1	10	2	86	86	129	112	0
ZOTU_104	3	86	6	27	9	297	19	23	1	27	0	131	37	28	34	41	0	32
ZOTU_105	0	68	93	7	67	1	24	328	0	18	28	0	0	0	0	1	134	27
ZOTU_106	0	61	128	72	4	29	92	1	26	6	12	77	18	8	179	23	1	2
ZOTU_107	0	1	2	0	0	1	2	0	0	1	0	580	0	0	0	57	0	0
ZOTU_108	2	24	14	19	11	4	147	92	156	17	45	48	1	13	4	5	45	42
ZOTU_109	24	139	1	8	51	24	4	49	2	17	16	54	18	45	152	59	26	46
ZOTU_110	61	56	80	10	213	169	10	130	1	5	23	49	37	72	33	2	4	13
ZOTU_111	9	0	0	8	0	2	13	14	32	21	0	452	0	2	1	56	0	18
ZOTU_112	9	0	0	53	0	1	32	2	10	59	6	277	5	52	32	0	0	68
ZOTU_113	0	12	2	16	65	314	17	40	9	14	1	16	51	62	54	27	0	8
ZOTU_115	17	18	18	5	97	331	27	16	1	1	0	36	8	23	23	0	10	1
ZOTU_116	19	0	14	1	71	1	0	273	6	7	0	175	17	0	70	0	5	0
ZOTU_118	22	0	1	0	1	2	306	11	15	80	46	0	0	2	97	0	51	8
ZOTU_119	8	73	2	74	45	0	81	94	20	175	0	17	16	38	17	18	2	2
ZOTU_120	2	0	104	72	189	0	5	0	84	17	9	110	5	8	0	0	0	19
ZOTU_121	1	500	0	1	2	30	28	38	0	0	34	0	0	19	4	0	0	11
ZOTU_122	0	138	187	120	1	0	18	1	1	23	17	1	0	61	0	1	1	13
ZOTU_123	0	0	0	0	174	0	346	66	0	1	2	0	10	0	2	6	2	2
ZOTU_124	0	11	0	0	62	0	48	1	9	145	142	1	0	96	25	5	0	70
ZOTU_125	73	12	36	1	14	74	62	1	0	74	11	0	54	20	112	98	60	18
ZOTU_126	0	20	1	105	0	1	77	24	0	4	1	2	9	0	2	2	0	436
ZOTU_127	0	1	0	0	0	0	0	0	1	2	0	0	4	1	0	36	487	0
ZOTU_128	3	4	0	62	154	26	50	38	16	13	0	144	13	10	96	16	3	29
ZOTU_129	89	4	0	27	32	77	1	13	8	8	2	217	113	31	13	5	1	0
ZOTU_130	112	0	66	49	34	1	62	110	0	12	2	131	36	9	0	72	0	0
ZOTU_131	10	18	147	40	1	6	25	96	1	1	0	0	0	1	87	83	1	52
ZOTU_132	17	10	1	9	20	112	14	11	85	3	28	78	35	103	140	44	33	18
ZOTU_133	3	33	42	18	38	38	5	31	20	82	0	0	0	65	61	90	75	4
ZOTU_134	0	41	7	9	14	0	2	0	1	92	8	0	8	261	50	1	9	4
ZOTU_135	0	0	38	66	0	0	0	281	0	16	92	0	0	0	0	0	0	0
ZOTU_136	0	0	0	14	7	1	53	230	0	0	0	0	29	42	1	112	1	0
ZOTU_137	0	127	4	0	232	0	8	3	0	0	0	0	0	31	104	0	50	0
ZOTU_138	5	51	1	12	8	21	184	62	1	12	5	128	0	9	2	11	35	4
ZOTU_140	2	2	32	23	38	0	6	66	1	1	2	1	13	27	110	35	161	3
ZOTU_141	0	106	13	29	153	3	28	0	0	19	2	1	15	0	8	1	140	0
ZOTU_142	0	6	18	56	137	24	17	52	5	5	0	0	20	74	102	47	42	1
ZOTU_143	0	2	1	1	1	54	82	179	1	33	37	0	2	91	2	2	0	2
ZOTU_144	69	181	7	2	7	71	31	1	1	54	4	25	3	60	76	39	14	44
ZOTU_145	0	1	1	0	1	14	180	1	0	0	0	297	0	0	1	2	0	0
ZOTU_146	0	0	0	1	446	1	0	1	0	12	0	0	0	0	0	0	6	0
ZOTU_147	3	1	0	0	66	3	1	98	0	29	21	0	4	12	101	59	72	1
ZOTU_148	0	440	0	0	0	6	0	0	0	7	0	0	0	0	0	0	1	0
ZOTU_149	0	1	0	2	14	0	28	27	0	65	28	0	0	1	22	1	123	171
ZOTU_150	0	0	0	0	0	0	54	276	0	0	4	0	0	84	2	0	44	29
ZOTU_151	82	34	13	2	21	228	10	8	0	44	28	8	15	16	76	4	26	5
ZOTU_152	47	39	47	55	49	172	18	0	3	36	21	32	29	26	35	37	19	40
ZOTU_153	0	149	0	128	1	4	106	0	0	16	8	1	11	1	52	4	0	0
ZOTU_154	0	1	1	0	0	54	5	0	0	1	0	354	1	0	0	0	0	34
ZOTU_155	0	11	15	25	94	199	16	0	2	16	4	9	6	35	12	54	12	8
ZOTU_156	0	0	9	40	40	43	24	0	9	11	0	2	5	74	199	1	1	22
ZOTU_157	0	0	0	1	0	41	2	0	0	6	0	397	0	0	0	0	0	0
ZOTU_158	0	35	36	0	1	25	34	11	1	5	0	146	35	45	49	101	0	3
ZOTU_159	0	0	0	1	2	0	0	3	0	0	0	435	0	0	0	0	0	0
ZOTU_160	1	368	50	32	0	0	0	0	0	0	7	0	1	0	0	0	0	0
ZOTU_161	1	0	1	454	1	0	0	0	0	1	0	0	0	1	1	0	0	7
ZOTU_162	0	0	2	0	0	0	47	0	0	1	0	396	0	0	2	0	0	0
ZOTU_163	34	186	0	148	45	8	1	57	4	0	0	0	5	0	3	0	1	4
ZOTU_164	0	2	1	425	2	0	0	0	4	2	2	0	1	1	0	1	2	0
ZOTU_165	0	0	2	0	0	75	0	0	0	16	8	340	0	0	0	0	0	1
ZOTU_166	0	7	157	41	1	0	49	0	5	7	3	0	17	0	47	0	109	44
ZOTU_167	9	2	5	1	7	129	13	5	0	0	0	204	5	2	41	31	37	20
ZOTU_168	4	10	37	98	6	238	0	42	0	4	0	0	10	31	30	0	0	12
ZOTU_169	12	1	1	2	2	4	58	1	2	3	1	1	7	19	2	6	431	1
ZOTU_170	0	7	0	43	1	0	25	0	0	33	1	1	0	0	16	0	378	0
ZOTU_171	0	0	0	0	148	1	228	8	66	3	6	1	1	23	1	11	5	2
ZOTU_172	0	0	1	0	2	0	2	0	0	0	46	0	0	12	72	0	367	0
ZOTU_173	20	48	0	0	129	2	97	40	8	32	7	67	3	1	1	6	17	1
ZOTU_174	3	92	64	14	28	29	1	13	36	21	0	0	8	26	84	32	33	0
ZOTU_175	0	221	0	0	41	2	30	0	0	1	0	36	0	0	68	0	0	3
ZOTU_176	0	0	1	108	155	7	46	0	16	5	54	1	0	48	29	0	0	24
ZOTU_177	0	324	0	0	0	0	1	0	0	2	1	1	0	86	0	0	4	0
ZOTU_178	0	2	0	85	313	0	2	0	0	0	0	1	0	0	0	0	2	0
ZOTU_179	0	0	0	0	0	0	9	349	0	1	0	0	0	14	0	0	1	0
