#OTU ID	BS1
ZOTU_1	19149
ZOTU_2	1019
ZOTU_5	627
ZOTU_6	168
ZOTU_10	6
ZOTU_11	72
ZOTU_12	287
ZOTU_13	48
ZOTU_14	176
ZOTU_15	108
ZOTU_16	652
ZOTU_17	56
ZOTU_19	48
ZOTU_23	56
ZOTU_24	77
ZOTU_25	137
ZOTU_28	74
ZOTU_29	30
ZOTU_30	38
ZOTU_31	45
ZOTU_32	52
ZOTU_34	8
ZOTU_35	64
ZOTU_36	159
ZOTU_37	10
ZOTU_38	52
ZOTU_40	2
ZOTU_41	1
ZOTU_42	12
ZOTU_44	22
ZOTU_47	1
ZOTU_48	6
ZOTU_49	50
ZOTU_50	26
ZOTU_51	14
ZOTU_53	1
ZOTU_54	14
ZOTU_55	77
ZOTU_57	49
ZOTU_59	23
ZOTU_61	11
ZOTU_62	2
ZOTU_63	20
ZOTU_64	24
ZOTU_67	1
ZOTU_68	1
ZOTU_69	30
ZOTU_70	12
ZOTU_72	1
ZOTU_75	43
ZOTU_76	8
ZOTU_82	6
ZOTU_83	4
ZOTU_86	26
ZOTU_87	35
ZOTU_89	7
ZOTU_90	42
ZOTU_93	9
ZOTU_95	5
ZOTU_97	53
ZOTU_100	40
ZOTU_104	3
ZOTU_108	1
ZOTU_109	18
ZOTU_110	43
ZOTU_111	7
ZOTU_112	6
ZOTU_115	12
ZOTU_116	8
ZOTU_118	14
ZOTU_119	6
ZOTU_120	1
ZOTU_121	1
ZOTU_125	55
ZOTU_128	1
ZOTU_129	66
ZOTU_130	73
ZOTU_131	8
ZOTU_132	7
ZOTU_133	2
ZOTU_138	3
ZOTU_140	1
ZOTU_144	43
ZOTU_147	2
ZOTU_151	46
ZOTU_152	31
ZOTU_161	1
ZOTU_163	28
ZOTU_167	5
ZOTU_168	2
ZOTU_169	10
ZOTU_173	16
ZOTU_174	2
ZOTU_180	1
ZOTU_181	2
ZOTU_182	5
ZOTU_183	5
ZOTU_185	8
ZOTU_189	26
ZOTU_192	13
ZOTU_195	6
ZOTU_196	2
ZOTU_197	19
ZOTU_199	40
ZOTU_201	37
ZOTU_203	15
ZOTU_204	10
ZOTU_205	10
ZOTU_214	1
ZOTU_217	13
ZOTU_224	3
ZOTU_226	45
ZOTU_231	1
ZOTU_234	41
ZOTU_238	3
ZOTU_243	1
ZOTU_245	10
ZOTU_249	63
ZOTU_250	56
ZOTU_255	84
ZOTU_258	5
ZOTU_260	32
ZOTU_267	7
ZOTU_273	7
ZOTU_274	17
ZOTU_277	4
ZOTU_282	1
ZOTU_284	12
ZOTU_311	36
ZOTU_318	31
ZOTU_322	7
ZOTU_325	5
ZOTU_328	1
ZOTU_330	9
ZOTU_335	2
ZOTU_336	10
ZOTU_338	1
ZOTU_346	6
ZOTU_349	12
ZOTU_351	10
ZOTU_355	12
ZOTU_357	8
ZOTU_361	5
ZOTU_363	1
ZOTU_364	34
ZOTU_365	1
ZOTU_366	15
ZOTU_369	2
ZOTU_375	8
ZOTU_379	10
ZOTU_384	1
ZOTU_385	1
ZOTU_388	2
ZOTU_392	5
ZOTU_395	3
ZOTU_396	5
ZOTU_402	1
ZOTU_407	4
ZOTU_409	13
ZOTU_412	12
ZOTU_415	18
ZOTU_418	2
ZOTU_434	12
ZOTU_446	87
ZOTU_448	36
ZOTU_449	5
ZOTU_450	4
ZOTU_452	1
ZOTU_453	4
ZOTU_459	5
ZOTU_462	2
ZOTU_465	1
ZOTU_472	10
ZOTU_474	3
ZOTU_477	1
ZOTU_479	3
ZOTU_482	12
ZOTU_486	19
ZOTU_490	7
ZOTU_499	1
ZOTU_500	1
ZOTU_506	2
ZOTU_512	17
ZOTU_513	2
ZOTU_516	32
ZOTU_529	21
ZOTU_533	24
ZOTU_534	5
ZOTU_547	1
ZOTU_560	1
ZOTU_565	2
ZOTU_574	12
ZOTU_585	18
ZOTU_588	5
ZOTU_592	27
ZOTU_595	2
ZOTU_599	2
ZOTU_602	9
ZOTU_603	4
ZOTU_608	6
ZOTU_609	6
ZOTU_610	3
ZOTU_611	23
ZOTU_620	1
ZOTU_622	67
ZOTU_634	14
ZOTU_638	2
ZOTU_649	18
ZOTU_660	2
ZOTU_670	4
ZOTU_689	75
ZOTU_696	9
ZOTU_699	5
ZOTU_717	38
ZOTU_718	7
ZOTU_719	1
ZOTU_736	1
ZOTU_737	3
ZOTU_738	11
ZOTU_748	7
ZOTU_752	2
ZOTU_754	41
ZOTU_765	1
ZOTU_766	54
ZOTU_770	23
ZOTU_771	4
ZOTU_776	14
ZOTU_781	1
ZOTU_785	4
ZOTU_804	2
