#OTU ID	BS1
ZOTU_1	19169
ZOTU_2	1022
ZOTU_3	1
ZOTU_5	626
ZOTU_6	178
ZOTU_10	6
ZOTU_11	72
ZOTU_12	277
ZOTU_13	50
ZOTU_14	177
ZOTU_15	98
ZOTU_16	637
ZOTU_17	51
ZOTU_19	47
ZOTU_23	68
ZOTU_24	75
ZOTU_25	118
ZOTU_28	75
ZOTU_29	33
ZOTU_30	44
ZOTU_31	40
ZOTU_32	53
ZOTU_34	11
ZOTU_35	57
ZOTU_36	153
ZOTU_37	8
ZOTU_38	59
ZOTU_40	1
ZOTU_42	10
ZOTU_44	18
ZOTU_47	1
ZOTU_48	7
ZOTU_49	46
ZOTU_50	28
ZOTU_51	11
ZOTU_53	2
ZOTU_54	17
ZOTU_55	78
ZOTU_57	55
ZOTU_59	29
ZOTU_61	12
ZOTU_62	3
ZOTU_63	25
ZOTU_64	20
ZOTU_67	1
ZOTU_68	1
ZOTU_69	36
ZOTU_70	11
ZOTU_72	1
ZOTU_75	37
ZOTU_76	4
ZOTU_82	5
ZOTU_83	4
ZOTU_84	4
ZOTU_86	29
ZOTU_87	32
ZOTU_89	6
ZOTU_90	40
ZOTU_93	7
ZOTU_95	5
ZOTU_97	43
ZOTU_100	40
ZOTU_104	2
ZOTU_108	2
ZOTU_109	14
ZOTU_110	34
ZOTU_111	5
ZOTU_112	4
ZOTU_115	11
ZOTU_116	13
ZOTU_118	12
ZOTU_119	5
ZOTU_120	1
ZOTU_121	1
ZOTU_125	43
ZOTU_128	2
ZOTU_129	62
ZOTU_130	71
ZOTU_131	5
ZOTU_132	12
ZOTU_133	2
ZOTU_138	4
ZOTU_144	48
ZOTU_147	1
ZOTU_151	54
ZOTU_152	32
ZOTU_161	1
ZOTU_163	28
ZOTU_167	3
ZOTU_168	2
ZOTU_169	10
ZOTU_173	14
ZOTU_174	3
ZOTU_180	1
ZOTU_181	4
ZOTU_182	5
ZOTU_183	8
ZOTU_185	7
ZOTU_189	17
ZOTU_192	13
ZOTU_195	4
ZOTU_196	1
ZOTU_197	19
ZOTU_199	38
ZOTU_201	33
