#OTU ID	BS1
ZOTU_1	29176
ZOTU_2	1564
ZOTU_3	1
ZOTU_5	938
ZOTU_6	262
ZOTU_8	0
ZOTU_10	8
ZOTU_11	100
ZOTU_12	434
ZOTU_13	78
ZOTU_14	266
ZOTU_15	161
ZOTU_16	980
ZOTU_17	79
ZOTU_18	0
ZOTU_19	71
ZOTU_20	0
ZOTU_23	94
ZOTU_24	123
ZOTU_25	204
ZOTU_28	105
ZOTU_29	47
ZOTU_30	72
ZOTU_31	63
ZOTU_32	87
ZOTU_33	0
ZOTU_34	18
ZOTU_35	91
ZOTU_36	240
ZOTU_37	14
ZOTU_38	84
ZOTU_40	2
ZOTU_41	1
ZOTU_42	15
ZOTU_43	0
ZOTU_44	27
ZOTU_47	1
ZOTU_48	11
ZOTU_49	71
ZOTU_50	34
ZOTU_51	18
ZOTU_52	0
ZOTU_53	2
ZOTU_54	27
ZOTU_55	110
ZOTU_57	72
ZOTU_58	0
ZOTU_59	37
ZOTU_61	16
ZOTU_62	4
ZOTU_63	30
ZOTU_64	32
ZOTU_65	0
ZOTU_66	0
ZOTU_67	2
ZOTU_68	1
ZOTU_69	47
ZOTU_70	20
ZOTU_71	0
ZOTU_72	1
ZOTU_73	0
ZOTU_74	0
ZOTU_75	60
ZOTU_76	9
ZOTU_77	0
ZOTU_78	0
ZOTU_80	0
ZOTU_81	0
ZOTU_82	6
ZOTU_83	6
ZOTU_84	5
ZOTU_85	0
ZOTU_86	37
ZOTU_87	49
ZOTU_88	0
ZOTU_89	11
ZOTU_90	58
ZOTU_91	0
ZOTU_92	0
ZOTU_93	11
ZOTU_94	0
ZOTU_95	9
ZOTU_96	0
ZOTU_97	69
ZOTU_98	0
ZOTU_99	0
ZOTU_100	61
ZOTU_103	0
ZOTU_104	3
ZOTU_105	0
ZOTU_106	0
ZOTU_107	0
ZOTU_108	2
ZOTU_109	24
ZOTU_110	61
ZOTU_111	9
ZOTU_112	9
ZOTU_113	0
ZOTU_115	17
ZOTU_116	19
ZOTU_118	22
ZOTU_119	8
ZOTU_120	2
ZOTU_121	1
ZOTU_122	0
ZOTU_123	0
ZOTU_124	0
ZOTU_125	73
ZOTU_126	0
ZOTU_127	0
ZOTU_128	3
ZOTU_129	89
ZOTU_130	112
ZOTU_131	10
ZOTU_132	17
ZOTU_133	3
ZOTU_134	0
ZOTU_135	0
ZOTU_136	0
ZOTU_137	0
ZOTU_138	5
ZOTU_140	2
ZOTU_141	0
ZOTU_142	0
ZOTU_143	0
ZOTU_144	69
ZOTU_145	0
ZOTU_146	0
ZOTU_147	3
ZOTU_148	0
ZOTU_149	0
ZOTU_150	0
ZOTU_151	82
ZOTU_152	47
ZOTU_153	0
ZOTU_154	0
ZOTU_155	0
ZOTU_156	0
ZOTU_157	0
ZOTU_158	0
ZOTU_159	0
ZOTU_160	1
ZOTU_161	1
ZOTU_162	0
ZOTU_163	34
ZOTU_164	0
ZOTU_165	0
ZOTU_166	0
ZOTU_167	9
ZOTU_168	4
ZOTU_169	12
ZOTU_170	0
ZOTU_171	0
ZOTU_172	0
ZOTU_173	20
ZOTU_174	3
ZOTU_175	0
ZOTU_176	0
ZOTU_177	0
ZOTU_178	0
ZOTU_179	0
ZOTU_180	2
ZOTU_181	4
ZOTU_182	10
ZOTU_183	10
ZOTU_184	0
ZOTU_185	10
ZOTU_186	0
ZOTU_187	0
ZOTU_188	0
ZOTU_189	32
ZOTU_190	0
ZOTU_191	0
ZOTU_192	26
ZOTU_193	1
ZOTU_194	0
ZOTU_195	9
ZOTU_196	2
ZOTU_197	27
ZOTU_198	0
ZOTU_199	57
ZOTU_200	0
ZOTU_201	55
ZOTU_203	21
ZOTU_204	13
ZOTU_205	18
ZOTU_206	0
ZOTU_207	0
ZOTU_208	0
ZOTU_209	0
ZOTU_210	0
ZOTU_211	0
ZOTU_212	0
ZOTU_213	0
ZOTU_214	1
ZOTU_215	0
ZOTU_216	0
ZOTU_217	17
ZOTU_218	0
ZOTU_219	0
ZOTU_221	0
ZOTU_222	0
ZOTU_223	0
ZOTU_224	5
ZOTU_225	0
ZOTU_226	69
ZOTU_227	0
ZOTU_228	0
ZOTU_230	0
ZOTU_231	1
ZOTU_232	0
ZOTU_233	1
ZOTU_234	59
ZOTU_235	0
ZOTU_237	0
ZOTU_238	4
ZOTU_240	0
ZOTU_241	1
ZOTU_242	0
ZOTU_243	1
ZOTU_244	0
ZOTU_245	15
ZOTU_246	0
ZOTU_247	0
ZOTU_248	0
ZOTU_249	90
ZOTU_250	78
ZOTU_251	0
ZOTU_252	0
ZOTU_254	0
ZOTU_255	138
ZOTU_256	0
ZOTU_257	0
ZOTU_258	5
ZOTU_259	0
ZOTU_260	49
ZOTU_261	0
ZOTU_262	0
ZOTU_263	0
ZOTU_264	0
ZOTU_265	0
ZOTU_266	0
ZOTU_267	12
ZOTU_268	0
ZOTU_269	0
ZOTU_270	0
ZOTU_271	0
ZOTU_272	0
ZOTU_273	10
ZOTU_274	22
ZOTU_275	0
ZOTU_276	0
ZOTU_277	6
ZOTU_278	0
ZOTU_279	0
ZOTU_280	0
ZOTU_281	0
ZOTU_282	1
ZOTU_283	0
ZOTU_284	15
ZOTU_286	0
ZOTU_287	0
ZOTU_288	0
ZOTU_289	0
ZOTU_290	0
ZOTU_291	0
ZOTU_292	0
ZOTU_293	0
ZOTU_294	0
ZOTU_295	0
ZOTU_296	0
ZOTU_297	0
ZOTU_298	1
ZOTU_299	0
ZOTU_300	0
ZOTU_301	0
ZOTU_302	0
ZOTU_303	0
ZOTU_304	0
ZOTU_305	0
ZOTU_306	0
ZOTU_307	0
ZOTU_308	1
ZOTU_309	0
ZOTU_310	0
ZOTU_311	57
ZOTU_312	0
ZOTU_313	0
ZOTU_314	1
ZOTU_315	0
ZOTU_316	0
ZOTU_317	0
ZOTU_318	46
ZOTU_319	0
ZOTU_320	0
ZOTU_321	0
ZOTU_322	12
ZOTU_323	0
ZOTU_324	0
ZOTU_325	5
ZOTU_326	0
ZOTU_327	0
ZOTU_328	1
ZOTU_329	0
ZOTU_330	13
ZOTU_331	0
ZOTU_332	0
ZOTU_333	0
ZOTU_334	0
ZOTU_335	3
ZOTU_336	13
ZOTU_337	0
ZOTU_338	1
ZOTU_339	0
ZOTU_341	0
ZOTU_342	0
ZOTU_343	0
ZOTU_345	0
ZOTU_346	11
ZOTU_347	0
ZOTU_348	0
ZOTU_349	17
ZOTU_350	0
ZOTU_351	18
ZOTU_352	0
ZOTU_353	0
ZOTU_355	13
ZOTU_356	0
ZOTU_357	14
ZOTU_358	1
ZOTU_359	0
ZOTU_360	0
ZOTU_361	11
ZOTU_362	0
ZOTU_363	1
ZOTU_364	43
ZOTU_365	3
ZOTU_366	24
ZOTU_367	0
ZOTU_368	0
ZOTU_369	2
ZOTU_370	0
ZOTU_371	0
ZOTU_372	0
ZOTU_373	0
ZOTU_374	0
ZOTU_375	15
ZOTU_376	0
ZOTU_377	0
ZOTU_378	0
ZOTU_379	16
ZOTU_380	0
ZOTU_381	0
ZOTU_382	0
ZOTU_383	0
ZOTU_384	4
ZOTU_385	1
ZOTU_386	0
ZOTU_387	0
ZOTU_388	7
ZOTU_389	0
ZOTU_390	0
ZOTU_391	0
ZOTU_392	7
ZOTU_393	0
ZOTU_394	0
ZOTU_395	3
ZOTU_396	14
ZOTU_397	0
ZOTU_398	0
ZOTU_399	0
ZOTU_400	0
ZOTU_401	0
ZOTU_402	1
ZOTU_403	0
ZOTU_404	0
ZOTU_405	0
ZOTU_406	0
ZOTU_407	9
ZOTU_408	0
ZOTU_409	18
ZOTU_410	0
ZOTU_412	18
ZOTU_413	0
ZOTU_414	0
ZOTU_415	24
ZOTU_417	0
ZOTU_418	2
ZOTU_419	0
ZOTU_421	0
ZOTU_422	0
ZOTU_423	0
ZOTU_424	1
ZOTU_425	0
ZOTU_426	0
ZOTU_427	0
ZOTU_428	0
ZOTU_429	0
ZOTU_430	0
ZOTU_431	0
ZOTU_432	0
ZOTU_433	0
ZOTU_434	18
ZOTU_435	0
ZOTU_436	0
ZOTU_437	0
ZOTU_438	1
ZOTU_439	0
ZOTU_440	0
ZOTU_441	0
ZOTU_442	0
ZOTU_443	0
ZOTU_444	0
ZOTU_445	0
ZOTU_446	127
ZOTU_447	0
ZOTU_448	57
ZOTU_449	10
ZOTU_450	7
ZOTU_451	0
ZOTU_452	1
ZOTU_453	4
ZOTU_454	0
ZOTU_455	0
ZOTU_456	0
ZOTU_457	0
ZOTU_458	0
ZOTU_459	9
ZOTU_460	0
ZOTU_461	0
ZOTU_462	5
ZOTU_463	0
ZOTU_464	0
ZOTU_465	1
ZOTU_466	0
ZOTU_467	0
ZOTU_468	0
ZOTU_469	0
ZOTU_470	1
ZOTU_471	0
ZOTU_472	15
ZOTU_473	0
ZOTU_474	5
ZOTU_475	0
ZOTU_476	0
ZOTU_477	2
ZOTU_478	0
ZOTU_479	5
ZOTU_480	0
ZOTU_481	0
ZOTU_482	14
ZOTU_483	0
ZOTU_484	0
ZOTU_485	0
ZOTU_486	26
ZOTU_487	0
ZOTU_488	0
ZOTU_489	0
ZOTU_490	10
ZOTU_491	0
ZOTU_492	0
ZOTU_493	0
ZOTU_494	0
ZOTU_496	0
ZOTU_497	0
ZOTU_498	0
ZOTU_499	2
ZOTU_500	2
ZOTU_502	0
ZOTU_503	0
ZOTU_504	0
ZOTU_505	0
ZOTU_506	2
ZOTU_507	0
ZOTU_508	0
ZOTU_509	0
ZOTU_510	0
ZOTU_511	0
ZOTU_512	26
ZOTU_513	6
ZOTU_514	0
ZOTU_515	0
ZOTU_516	47
ZOTU_517	0
ZOTU_518	0
